Country,Officiallanguage,Count,lat,lon
Malawi,English,1,-20,-135
Malawi,Chichewa,1,-20,-135
Malaysia,Malay,1,-20,-135
Maldives,Dhivehi,1,-20,-135
Mali,Bambara,1,-20,-135
Mali,Bobo,1,-20,-135
Mali,Bozo,1,-20,-135
Mali,Dogon,1,-20,-135
Mali,Fula,1,-20,-135
Mali,Hassaniya,1,-20,-135
Mali,Kassonke,1,-20,-135
Mali,Maninke,1,-20,-135
Mali,Minyanka,1,-20,-135
Mali,Senufo,1,-20,-135
Mali,Songhay ,1,-20,-135
Mali,Soninke,1,-20,-135
Mali,Tamasheq,1,-20,-135
Malta,Maltese,1,-20,-135
Malta,English,1,-20,-135
Sovereign Military Order of Malta,Italian,1,-20,-135
Marshall Islands,English,1,-20,-135
Marshall Islands,Marshallese,1,-20,-135
Mauritania,Arabic,1,-20,-135
Mauritius,English,1,-20,-135
Mauritius,Mauritian Creole,1,-20,-135
Mexico,Spanish,1,-20,-135
Federated States of Micronesia,English,1,-20,-135
Moldova,Romanian,1,-20,-135
Monaco,French,1,-20,-135
Mongolia,Mongolian,1,-20,-135
Montenegro,Montenegrin,1,-20,-135
Morocco,Arabic,1,-20,-135
,Berber,1,-20,-135
Mozambique,Portuguese,1,-20,-135
Myanmar,Burmese,1,-20,-135
Namibia,English,1,-20,-135
Nauru,English,1,-20,-135
Nauru,Nauruan,1,-20,-135
Nepal,Nepali,1,-20,-135
Netherlands,Dutch,1,-20,-135
New Zealand,English,1,-20,-135
New Zealand,Maori ,1,-20,-135
New Zealand,New Zealand Sign Language,1,-20,-135
Nicaragua,Spanish,1,-20,-135
Niger,French,1,-20,-135
Nigeria,English,1,-20,-135
Niue,English,1,-20,-135
Niue,Niuean,1,-20,-135
Norfolk Island,English,1,-20,-135
Norfolk Island,Norfuk,1,-20,-135
Macedonia,Macedonian,1,-20,-135
Macedonia,Albanian,1,-20,-135
Northern Cyprus,Turkish,1,-20,-135
Norway,Norwegian,1,-20,-135
Norway,Sami ,1,-20,-135
Oman,Arabic,1,-20,-135
Pakistan,Urdu,1,-20,-135
Pakistan,English,1,-20,-135
Palau,English,1,-20,-135
Palau,Palauan,1,-20,-135
Palestine,Arabic,1,-20,-135
Panama,Spanish,1,-20,-135
Papua New Guinea,English,1,-20,-135
Papua New Guinea,Hiri Motu,1,-20,-135
Papua New Guinea,PNG Sign Language,1,-20,-135
Papua New Guinea,Tok Pisin,1,-20,-135
Paraguay,Spanish,1,-20,-135
Paraguay,Guaraní,1,-20,-135
Peru,Spanish,1,-20,-135
Philippines,Filipino,1,-20,-135
Philippines,English,1,-20,-135
Poland,Polish,1,-20,-135
Portugal,Portuguese,1,-20,-135
Qatar,Arabic,1,-20,-135
Romania,Romanian,1,-20,-135
Russia,Russian,1,-20,-135
Rwanda,English,1,-20,-135
Rwanda,French,1,-20,-135
Rwanda,Kinyarwanda,1,-20,-135
Rwanda,Swahili,1,-20,-135
Sahrawi Arab Democratic Republic,Arabic,1,-20,-135
Sahrawi Arab Democratic Republic,Spanish,1,-20,-135
Saint Kitts and Nevis,English,1,-20,-135
Saint Lucia,English,1,-20,-135
Saint Vincent and the Grenadines,English,1,-20,-135
Samoa,English,1,-20,-135
Samoa,Samoan,1,-20,-135
San Marino,Italian,1,-20,-135
São Tomé and Príncipe,Portuguese,1,-20,-135
Saudi Arabia,Arabic,1,-20,-135
Senegal,French,1,-20,-135
Republic of Serbia,Serbian,1,-20,-135
Seychelles,English,1,-20,-135
Seychelles,French,1,-20,-135
Seychelles,Seychellois Creole,1,-20,-135
Sierra Leone,English,1,-20,-135
Singapore,English,1,-20,-135
Singapore,Malay,1,-20,-135
Singapore,Mandarin Chinese,1,-20,-135
Singapore,Tamil,1,-20,-135
Slovakia,Slovak,1,-20,-135
Slovenia,Slovene,1,-20,-135
Solomon Islands,English,1,-20,-135
Somalia,Arabic,1,-20,-135
Somalia,Somali,1,-20,-135
Somaliland,Arabic,1,-20,-135
Somaliland,English,1,-20,-135
Somaliland,Somali,1,-20,-135
South Africa,Afrikaans,1,-20,-135
South Africa,English,1,-20,-135
South Africa,Southern Ndebele,1,-20,-135
South Africa,Sotho,1,-20,-135
South Africa,Northern Sotho,1,-20,-135
South Africa,Swazi,1,-20,-135
South Africa,Tsonga,1,-20,-135
South Africa,Tswana,1,-20,-135
South Africa,Venda,1,-20,-135
South Africa,Xhosa,1,-20,-135
South Africa,Zulu,1,-20,-135
South Ossetia,Ossetian,1,-20,-135
South Ossetia,Russian,1,-20,-135
South Sudan,English,1,-20,-135
Spain,Spanish,1,-20,-135
